"","date","name","category","value"
"125",1970-01-03,"Massachusetts","S",5612916
"126",1970-01-03,"Kansas","S",2858035
"127",1970-01-03,"Nevada","S",2761690
"128",1970-01-03,"Vermont","S",634153
"129",1970-01-03,"Connecticut","S",3351654
"130",1970-01-03,"New.Jersey","S",10054250
"131",1970-01-03,"North.Carolina","S",9311830
"132",1970-01-03,"Utah","S",3037363
"133",1970-01-03,"North.Dakota","S",672026
"134",1970-01-03,"South.Carolina","S",4474623
"135",1970-01-03,"Mississippi","S",2782401
"136",1970-01-03,"Colorado","S",5367069
"137",1970-01-03,"South.Dakota","S",849586
"138",1970-01-03,"Oklahoma","S",3545716
"139",1970-01-03,"Wyoming","S",587924
"140",1970-01-03,"West.Virginia","S",1822686
"141",1970-01-03,"Maine","S",1216068
"142",1970-01-03,"New.Hampshire","S",1278560
"143",1970-01-03,"Arizona","S",6091467
"144",1970-01-03,"Rhode.Island","S",929596
"145",1970-01-04,"Maryland","S",6497744
"146",1970-01-04,"Iowa","S",3086788
"147",1970-01-04,"Delaware","S",834420
"148",1970-01-04,"Ohio","S",11331100
"149",1970-01-04,"Pennsylvania","S",12677130
"150",1970-01-04,"Nebraska","S",1828636
"151",1970-01-04,"Washington","S",7083135
"152",1970-01-04,"Alabama","S",4507724
"153",1970-01-04,"Arkansas","S",2652788
"154",1970-01-04,"New.Mexico","S",2007169
"155",1970-01-04,"Texas","S",26095930
"156",1970-01-04,"California","S",35114980
"157",1970-01-04,"Kentucky","S",4646502
"158",1970-01-04,"Georgia","S",9668115
"159",1970-01-04,"Wisconsin","S",5784086
"160",1970-01-04,"Oregon","S",4026673
"161",1970-01-04,"Missouri","S",6095176
"162",1970-01-04,"Virginia","S",8356177
"163",1970-01-04,"Tennessee","S",5924996
"164",1970-01-04,"Louisiana","S",4425600
"165",1970-01-04,"New.York","S",18341690
"166",1970-01-04,"Michigan","S",9800301
"167",1970-01-04,"Idaho","S",1677723
"168",1970-01-04,"Florida","S",20131420
"169",1970-01-04,"Illinois","S",12956220
"170",1970-01-04,"Montana","S",1020306
"171",1970-01-04,"Minnesota","S",5469500
"172",1970-01-04,"Indiana","S",6518298
"173",1970-01-04,"Massachusetts","S",5612916
"174",1970-01-04,"Kansas","S",2858035
"175",1970-01-04,"Nevada","S",2761690
"176",1970-01-04,"Vermont","S",634153
"177",1970-01-04,"Connecticut","S",3351654
"178",1970-01-04,"New.Jersey","S",10054250
"179",1970-01-04,"North.Carolina","S",9311830
"180",1970-01-04,"Utah","S",3037363
"181",1970-01-04,"North.Dakota","S",672026
"182",1970-01-04,"South.Carolina","S",4474623
"183",1970-01-04,"Mississippi","S",2782401
"184",1970-01-04,"Colorado","S",5367069
"185",1970-01-04,"South.Dakota","S",849586
"186",1970-01-04,"Oklahoma","S",3545716
"187",1970-01-04,"Wyoming","S",587924
"188",1970-01-04,"West.Virginia","S",1822686
"189",1970-01-04,"Maine","S",1216068
"190",1970-01-04,"New.Hampshire","S",1278560
"191",1970-01-04,"Arizona","S",6091467
"192",1970-01-04,"Rhode.Island","S",929596
"193",1970-01-05,"Maryland","S",6497744
"194",1970-01-05,"Iowa","S",3086788
"195",1970-01-05,"Delaware","S",834420
"196",1970-01-05,"Ohio","S",11331100
"197",1970-01-05,"Pennsylvania","S",12677130
"198",1970-01-05,"Nebraska","S",1828636
"199",1970-01-05,"Washington","S",7083135
"200",1970-01-05,"Alabama","S",4507724
"201",1970-01-05,"Arkansas","S",2652788
"202",1970-01-05,"New.Mexico","S",2007169
"203",1970-01-05,"Texas","S",26095930
"204",1970-01-05,"California","S",35114980
"205",1970-01-05,"Kentucky","S",4646502
"206",1970-01-05,"Georgia","S",9668050
"207",1970-01-05,"Wisconsin","S",5784086
"208",1970-01-05,"Oregon","S",4026673
"209",1970-01-05,"Missouri","S",6095176
"210",1970-01-05,"Virginia","S",8356177
"211",1970-01-05,"Tennessee","S",5924996
"212",1970-01-05,"Louisiana","S",4425600
"213",1970-01-05,"New.York","S",18341690
"214",1970-01-05,"Michigan","S",9800301
"215",1970-01-05,"Idaho","S",1677723
"216",1970-01-05,"Florida","S",20131420
"217",1970-01-05,"Illinois","S",12956220
"218",1970-01-05,"Montana","S",1020306
"219",1970-01-05,"Minnesota","S",5469500
"220",1970-01-05,"Indiana","S",6518298
"221",1970-01-05,"Massachusetts","S",5612916
"222",1970-01-05,"Kansas","S",2858035
"223",1970-01-05,"Nevada","S",2761690
"224",1970-01-05,"Vermont","S",634153
"225",1970-01-05,"Connecticut","S",3351654
"226",1970-01-05,"New.Jersey","S",10054250
"227",1970-01-05,"North.Carolina","S",9311830
"228",1970-01-05,"Utah","S",3037363
"229",1970-01-05,"North.Dakota","S",672026
"230",1970-01-05,"South.Carolina","S",4474623
"231",1970-01-05,"Mississippi","S",2782401
"232",1970-01-05,"Colorado","S",5367069
"233",1970-01-05,"South.Dakota","S",849586
"234",1970-01-05,"Oklahoma","S",3545716
"235",1970-01-05,"Wyoming","S",587924
"236",1970-01-05,"West.Virginia","S",1822686
"237",1970-01-05,"Maine","S",1216068
"238",1970-01-05,"New.Hampshire","S",1278560
"239",1970-01-05,"Arizona","S",6091467
"240",1970-01-05,"Rhode.Island","S",929596
"241",1970-01-06,"Maryland","S",6497744
"242",1970-01-06,"Iowa","S",3086788
"243",1970-01-06,"Delaware","S",834420
"244",1970-01-06,"Ohio","S",11331100
"245",1970-01-06,"Pennsylvania","S",12677130
"246",1970-01-06,"Nebraska","S",1828636
"247",1970-01-06,"Washington","S",7083135
"248",1970-01-06,"Alabama","S",4507724
"249",1970-01-06,"Arkansas","S",2652788
