"","date","name","category","value"
"125",1970-01-03,"Massachusetts",29,5612916
"126",1970-01-03,"Kansas",17,2858035
"127",1970-01-03,"Nevada",15,2761690
"128",1970-01-03,"Vermont",2,634153
"129",1970-01-03,"Connecticut",20,3351654
"130",1970-01-03,"New.Jersey",41,10054250
"131",1970-01-03,"North.Carolina",38,9311830
"132",1970-01-03,"Utah",18,3037363
"133",1970-01-03,"North.Dakota",3,672026
"134",1970-01-03,"South.Carolina",24,4474623
"135",1970-01-03,"Mississippi",16,2782401
"136",1970-01-03,"Colorado",27,5367069
"137",1970-01-03,"South.Dakota",5,849586
"138",1970-01-03,"Oklahoma",21,3545716
"139",1970-01-03,"Wyoming",1,587924
"140",1970-01-03,"West.Virginia",11,1822686
"141",1970-01-03,"Maine",8,1216068
"142",1970-01-03,"New.Hampshire",9,1278560
"143",1970-01-03,"Arizona",32,6091467
"144",1970-01-03,"Rhode.Island",6,929596
"145",1970-01-04,"Maryland",34,6497744
"146",1970-01-04,"Iowa",19,3086788
"147",1970-01-04,"Delaware",4,834420
"148",1970-01-04,"Ohio",42,11331100
"149",1970-01-04,"Pennsylvania",43,12677130
"150",1970-01-04,"Nebraska",12,1828636
"151",1970-01-04,"Washington",36,7083135
"152",1970-01-04,"Alabama",25,4507724
"153",1970-01-04,"Arkansas",14,2652788
"154",1970-01-04,"New.Mexico",13,2007169
"155",1970-01-04,"Texas",47,26095930
"156",1970-01-04,"California",48,35114980
"157",1970-01-04,"Kentucky",26,4646502
"158",1970-01-04,"Georgia",39,9668129
"159",1970-01-04,"Wisconsin",30,5784086
"160",1970-01-04,"Oregon",22,4026673
"161",1970-01-04,"Missouri",33,6095176
"162",1970-01-04,"Virginia",37,8356177
"163",1970-01-04,"Tennessee",31,5924996
"164",1970-01-04,"Louisiana",23,4425600
"165",1970-01-04,"New.York",45,18341690
"166",1970-01-04,"Michigan",40,9800301
"167",1970-01-04,"Idaho",10,1677723
"168",1970-01-04,"Florida",46,20131420
"169",1970-01-04,"Illinois",44,12956220
"170",1970-01-04,"Montana",7,1020306
"171",1970-01-04,"Minnesota",28,5469500
"172",1970-01-04,"Indiana",35,6518298
"173",1970-01-04,"Massachusetts",29,5612916
"174",1970-01-04,"Kansas",17,2858035
"175",1970-01-04,"Nevada",15,2761690
"176",1970-01-04,"Vermont",2,634153
"177",1970-01-04,"Connecticut",20,3351654
"178",1970-01-04,"New.Jersey",41,10054250
"179",1970-01-04,"North.Carolina",38,9311830
"180",1970-01-04,"Utah",18,3037363
"181",1970-01-04,"North.Dakota",3,672026
"182",1970-01-04,"South.Carolina",24,4474623
"183",1970-01-04,"Mississippi",16,2782401
"184",1970-01-04,"Colorado",27,5367069
"185",1970-01-04,"South.Dakota",5,849586
"186",1970-01-04,"Oklahoma",21,3545716
"187",1970-01-04,"Wyoming",1,587924
"188",1970-01-04,"West.Virginia",11,1822686
"189",1970-01-04,"Maine",8,1216068
"190",1970-01-04,"New.Hampshire",9,1278560
"191",1970-01-04,"Arizona",32,6091467
"192",1970-01-04,"Rhode.Island",6,929596
"193",1970-01-05,"Maryland",34,6497744
