team...1,season,name,team...4,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penaltyMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penaltyMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
WPG,2014,WPG,WPG,Team Level,other,82,0.5,0.52,0.5,13470,169.08,29.26,11.13,33.58,5.7,87.98,65.35,27.96,29.26,27.96,173,60,101,334,24,12,2,30,3,89,75,149,209,10,23,164,60,41,47,142,48,43,4.83,5.95,18.49,5,5,14,334,233,233,32,3.17,3.25,3.34,29.09,29.09,28.01,172.28,29.2,12.4,32.46,5.64,94.2,62.09,27.24,29.2,27.24,174,62,77,313,29,11,3,31,9,77,79,145,207,22,49,181,56,28,32,135,69,32,4.59,8.58,16.03,6,4,19,313,236,236,23,3.59,2.74,2.23,30.56,30.56,28.68
WPG,2014,WPG,WPG,Team Level,all,82,0.51,0.52,0.51,300586,2458.45,231.19,163.99,570.54,79.68,1351.03,1004.57,222.44,232.86,224.07,2439,962,1288,4689,223,177,43,534,81,1154,1232,2216,3178,406,920,2476,2409,536,772,2560,607,234,74,75.12,82.06,65,76,82,4746.91,3401,3439.91,585,36.44,39.02,41.06,226.57,228.09,222.85,2344.18,224.72,158.28,540.58,76.22,1287.99,952.2,216.38,223.88,215.54,2350,890,1120,4360,204,158,27,600,78,1009,1191,2146,3036,362,836,2589,1931,484,855,2419,612,209,70.97,76.18,77.57,63,62,79,4308.17,3240,3206.55,635,35.74,34.7,36.33,224.12,223.14,216.99
WPG,2014,WPG,WPG,Team Level,5on5,82,0.52,0.53,0.52,232109,1862.64,148.79,117.83,453.3,60.03,1026.28,767.75,144,150.47,145.63,1837,737,959,3533,145,133,34,428,66,851,951,1692,2429,355,809,1803,2198,423,610,2005,441,128,58.27,54.59,35.93,49,55,41,3590.91,2574,2612.91,484,24.29,27.53,28.79,144.3,145.8,143.61,1722.04,135.62,108.63,418.12,55.43,942.68,716.51,132.45,134.79,131.61,1709,668,815,3192,123,97,14,464,54,724,915,1586,2254,311,721,1872,1746,375,674,1860,409,108,55.38,50.72,29.53,48,47,28,3140.17,2377,2343.55,527,22.42,21.18,21.72,136.33,135.35,133.69
WPG,2014,WPG,WPG,Team Level,4on5,82,0.12,0.14,0.16,29590,76.84,7.42,3.59,10.67,2.19,22.83,57.3,7.4,7.42,7.4,80,24,18,122,9,2,0,10,3,14,66,71,95,25,53,260,108,49,65,71,27,6,2.25,3.61,1.55,2,4,3,122,104,104,61,0.83,0.25,0.25,8,8,7.98,390.4,54.65,34.71,82.25,13.4,234.46,123.54,51.5,54.65,51.5,402,141,213,756,50,46,10,91,14,194,148,352,493,16,37,316,51,21,82,363,116,64,9.55,14.56,30.54,8,11,31,756,543,543,20,9.14,10.01,11.62,52.16,52.16,49.56
WPG,2014,WPG,WPG,Team Level,5on4,82,0.9,0.88,0.85,25417,349.88,45.71,31.43,73,11.75,213.94,114.16,43.09,45.71,43.09,349,141,210,700,45,30,7,66,9,200,140,304,445,16,35,249,43,23,50,342,91,57,8.65,10.96,26.1,9,12,24,700,490,490,8,8.16,8,8.69,45.18,45.18,43.24,59.47,5.25,2.56,7.73,1.75,16.65,50.06,5.18,5.25,5.18,65,19,15,99,2,4,0,14,1,14,49,63,82,13,29,220,78,60,67,61,18,5,1.45,2.32,1.48,1,0,1,99,84,84,65,0.6,0.77,0.77,5.08,5.08,5.06
BOS,2014,BOS,BOS,Team Level,other,82,0.56,0.55,0.53,9851,159.05,24.33,10.1,30.88,5.17,79.12,68.4,23.41,24.33,23.41,162,56,71,289,26,6,2,37,6,66,77,136,192,8,19,151,46,29,22,133,54,31,4.51,6.93,12.89,4,9,13,289,218,218,5,2.73,2.25,2.25,24.81,24.81,24.05,137.27,19.02,9.36,27.08,4.56,77.81,55.16,18.12,19.02,18.12,133,60,46,239,17,7,2,30,7,59,73,116,176,7,14,117,49,27,31,138,27,28,4.47,3.1,11.45,5,1,11,239,193,193,13,2.63,2.03,2.62,19.04,19.04,18.49
BOS,2014,BOS,BOS,Team Level,all,82,0.51,0.52,0.51,301519,2533.39,211.89,166.28,588.72,84.11,1413.99,1085.03,204.72,212.34,205.17,2546,1004,1267,4817,209,130,33,667,106,1119,1319,2337,3341,300,688,2686,2112,487,604,2736,630,184,72.96,75.94,62.99,73,65,71,4829.72,3550,3562.03,268,36.42,31.99,35.49,212.82,213.34,208.95,2432.13,203.93,157.98,568.15,79.15,1341.86,1021.93,197.03,203.93,197.02,2449,924,1047,4420,201,141,32,636,84,1067,1244,2248,3172,269,629,2323,2296,574,785,2610,581,182,71.87,69.45,62.62,62,76,63,4406.74,3373,3366.65,385,34.59,31.54,33.9,204.62,204.47,200.53
BOS,2014,BOS,BOS,Team Level,5on5,82,0.51,0.52,0.51,247469,1957.26,147.5,123.07,473.37,65.18,1090.78,840.11,143.67,147.95,144.13,1977,763,1003,3743,140,95,24,530,81,853,1041,1837,2600,267,619,2046,1936,399,507,2142,492,106,58.44,58.91,30.14,55,49,36,3755.72,2740,2752.03,235,25.28,22.3,24.56,148.23,148.75,146.56,1926.39,140.85,118.38,468.91,62.64,1052.24,821.98,137.34,140.85,137.34,1944,721,831,3496,138,107,25,527,65,819,1009,1806,2527,244,579,1806,2137,489,647,2124,438,103,58.8,52.25,29.8,50,60,28,3482.74,2665,2658.64,335,24.28,21.76,23.53,141.6,141.44,139.36
BOS,2014,BOS,BOS,Team Level,4on5,82,0.12,0.15,0.18,23083,64.75,5.64,2.6,8.37,1.82,18.49,60.08,5.63,5.64,5.63,76,21,8,105,7,2,0,15,4,14,55,69,90,12,24,237,89,49,24,78,11,8,1.69,1.35,2.6,3,0,4,105,97,97,22,0.63,0.14,0.14,6.12,6.12,6.11,326.96,40.2,28.4,66.88,10.69,200.64,108.18,37.73,40.2,37.73,322,133,159,614,43,26,4,73,10,178,125,279,412,11,22,214,39,20,74,305,105,45,7.78,12.76,19.65,7,14,22,614,455,455,7,7.25,7.37,7.37,40.09,40.09,38.78
BOS,2014,BOS,BOS,Team Level,5on4,82,0.9,0.91,0.89,21116,352.34,34.42,30.52,76.09,11.94,225.59,116.44,32.01,34.42,32.01,331,164,185,680,36,27,7,85,15,186,146,295,459,13,26,252,41,10,51,383,73,39,8.31,8.75,17.36,11,7,18,680,495,495,6,7.77,7.3,8.54,33.65,33.65,32.23,41.5,3.85,1.84,5.27,1.25,11.17,36.61,3.84,3.85,3.84,50,10,11,71,3,1,1,6,2,11,37,47,57,7,14,186,71,38,33,43,11,6,0.81,1.33,1.71,0,1,2,71,60,60,30,0.43,0.38,0.38,3.9,3.9,3.9
