team...1,season,name,team...4,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penaltyMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penaltyMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
WPG,2021,WPG,WPG,Team Level,other,82,0.49,0.5,0.47,10969,149.16,35.55,10.33,26.1,5.07,75.18,53.77,34.26,35.55,34.26,158,48,77,283,37,10,3,25,6,63,65,121,169,13,26,120,41,26,33,94,66,46,3.64,8.45,23.46,4,10,23,283,206,206,24,2.91,3.07,3.07,35.4,35.4,34.26,166.08,37.28,12.1,29.07,5.44,86.33,58.77,35.28,37.28,35.28,166,63,57,286,34,15,3,26,3,82,69,132,195,6,12,131,40,35,30,109,62,58,4.25,7.18,25.84,2,7,25,286,229,229,16,3.44,5.05,5.05,35.67,35.67,33.82
WPG,2021,WPG,WPG,Team Level,all,82,0.49,0.5,0.5,298626,2602.62,270.26,187.32,581.15,85.37,1459.69,1054.22,260.33,271.08,261.12,2645,993,1088,4726,250,202,32,589,72,1146,1379,2395,3388,288,648,2262,1921,580,868,2558,812,268,78.33,100.69,91.24,72,94,84,4757.72,3638,3656.33,654,41.37,45.81,45.86,265.76,266.55,260.59,2674.4,278.14,191.62,607.83,87.18,1475.08,1067.15,265.99,279.12,266.86,2721,986,1089,4796,253,226,44,540,74,1230,1384,2468,3454,297,677,2196,1658,570,876,2611,806,290,77.3,99.4,101.43,61,98,94,4795.23,3707,3712.63,620,42.5,52.47,52.78,267.86,268.57,261.25
WPG,2021,WPG,WPG,Team Level,5on5,82,0.49,0.49,0.5,243245,2015.8,181.06,139.08,470.27,65.84,1140.43,837.33,175.04,181.88,175.83,2047,787,869,3703,156,150,21,494,51,878,1105,1891,2678,250,568,1748,1766,483,727,2075,603,156,64.23,74.73,42.09,54,68,34,3734.72,2834,2852.33,559,28.82,32.05,32.09,177.78,178.56,175.57,2085.51,185.02,142.2,495.72,67.67,1146.51,851.89,178.35,186,179.22,2104,785,902,3791,162,167,27,453,54,932,1121,1942,2727,264,605,1662,1527,458,721,2095,625,169,61.78,77.55,45.69,53,73,36,3790.23,2889,2894.63,522,29.47,34.7,35.01,179.49,180.19,177.17
WPG,2021,WPG,WPG,Team Level,4on5,82,0.16,0.14,0.15,21405,70.41,9.29,3.93,9.15,2.12,20.31,45.19,8.94,9.29,8.94,75,15,12,102,8,5,0,3,0,18,56,67,82,7,17,169,81,55,67,50,23,17,1.77,3,4.52,2,3,3,102,90,90,66,0.9,1.35,1.35,8.84,8.84,8.77,357.49,48.85,33.56,74.29,12.03,220.63,110.64,45.46,48.85,45.46,373,127,117,617,50,40,12,59,16,199,136,323,450,16,35,212,30,15,43,348,98,54,9.42,11.82,27.61,5,15,30,617,500,500,1,8.74,12.09,12.09,45.51,45.51,43.11
WPG,2021,WPG,WPG,Team Level,5on4,82,0.86,0.86,0.85,23007,367.25,44.35,33.99,75.62,12.35,223.77,117.92,42.08,44.35,42.08,365,143,130,638,49,37,8,67,15,187,153,316,459,18,37,225,33,16,41,339,120,49,8.69,14.5,21.16,12,13,24,638,508,508,5,8.74,9.34,9.34,43.74,43.74,41.98,65.33,6.99,3.75,8.77,2.04,21.61,45.85,6.9,6.99,6.9,78,11,13,102,7,4,2,2,1,17,58,71,82,11,25,191,61,62,82,59,21,9,1.86,2.85,2.29,1,3,3,102,89,89,81,0.84,0.64,0.64,7.19,7.19,7.15
CBJ,2021,CBJ,CBJ,Team Level,other,82,0.52,0.49,0.49,10317,135.2,34.71,9.11,21.98,4.28,67.34,47.59,32.58,34.71,32.58,122,63,54,239,37,10,2,22,6,56,54,85,148,5,10,116,30,23,21,76,65,44,3.02,7.73,23.96,8,7,22,239,185,185,8,2.65,3.11,3.11,34.24,34.24,32.16,138.41,31.5,9.52,24.12,4.46,75.32,47.07,29.33,31.5,29.33,138,54,56,248,34,8,3,22,7,61,60,104,158,6,12,136,26,21,20,101,53,38,3.74,6.34,21.42,6,6,22,248,192,192,8,2.77,3.36,3.36,30.91,30.91,29.5
CBJ,2021,CBJ,CBJ,Team Level,all,82,0.45,0.48,0.47,298315,2482.55,239.75,169.04,555.48,80.28,1367.1,1028.36,231.01,240.03,231.31,2463,977,1113,4553,258,175,42,594,93,1008,1312,2205,3182,284,595,2257,1638,584,598,2529,692,219,75.67,83.32,80.77,86,84,88,4538.5,3440,3440.87,317,37.07,39.69,39.69,237.14,237.29,231.3,2788.82,289.9,196.96,613.53,89.25,1539.31,1112.11,276.78,292.42,279.19,2889,953,1073,4915,297,209,32,641,82,1169,1444,2592,3545,267,567,2397,1436,589,608,2717,857,268,84.14,105.77,100,98,114,85,4989.58,3842,3882.43,301,43.14,49.56,49.56,283.42,285.83,278.1
CBJ,2021,CBJ,CBJ,Team Level,5on5,82,0.45,0.48,0.47,243972,1962.2,163.27,129.44,458.49,63.71,1088.09,820.99,158.24,163.55,158.55,1948,776,909,3633,177,139,36,496,76,780,1056,1771,2547,259,545,1767,1526,495,523,2069,524,131,62.1,63.14,38.04,71,63,43,3618.5,2724,2724.87,300,26.67,31.32,31.32,158.63,158.77,156.41,2251.24,199.7,154.57,514.04,71.86,1249.02,917.86,192.71,202.21,195.12,2348,760,863,3971,214,163,23,544,61,955,1171,2134,2894,241,507,1833,1327,479,513,2264,693,151,71.56,85.53,42.61,88,94,32,4045.58,3108,3148.43,266,31.87,36.19,36.39,195.11,197.52,194.14
CBJ,2021,CBJ,CBJ,Team Level,4on5,82,0.14,0.18,0.21,22149,87.1,8.52,4.42,12.05,2.67,27.05,62.29,8.32,8.52,8.32,94,23,16,133,7,1,0,17,2,15,75,87,110,12,24,182,67,52,8,84,22,11,2.75,2.7,3.06,1,3,3,133,117,117,7,1.03,0.3,0.3,9.25,9.25,9.08,328.43,50.68,29.16,66.32,10.93,193.87,99.05,46.93,50.68,46.93,333,117,140,590,44,35,6,72,14,143,142,289,406,15,30,239,23,18,50,294,88,68,6.99,10.88,32.8,4,12,28,590,450,450,5,7.67,9.35,9.15,49.19,49.19,46.28
CBJ,2021,CBJ,CBJ,Team Level,5on4,82,0.81,0.84,0.82,21877,298.06,33.25,26.07,62.96,9.62,184.61,97.48,31.86,33.25,31.86,299,115,134,548,37,25,4,59,9,157,127,262,377,8,16,192,15,14,46,300,81,33,7.8,9.75,15.71,6,11,20,548,414,414,2,6.73,4.96,4.96,35.02,35.02,33.65,70.74,8.02,3.71,9.04,2,21.11,48.12,7.81,8.02,7.81,70,22,14,106,5,3,0,3,0,10,71,65,87,5,18,189,60,71,25,58,23,11,1.84,3.01,3.17,0,2,3,106,92,92,22,0.84,0.66,0.66,8.21,8.21,8.18
