team...1,season,name,team...4,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penaltyMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penaltyMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CGY,2013,CGY,CGY,Team Level,other,82,0.47,0.55,0.54,9613,136.54,20.27,9.55,28.14,4.54,75.32,53.44,19.1,20.27,19.1,123,72,90,285,17,9,3,33,4,65,67,106,178,3,4,127,32,23,24,131,39,25,4.23,5.06,10.98,5,6,6,285,195,195,8,2.64,2.5,2.5,20.15,20.15,19.23,115.12,22.68,7.61,21.92,3.8,58.97,46.16,21.47,22.68,21.47,106,57,67,230,20,12,4,17,4,61,49,86,143,15,35,153,35,20,27,91,37,35,3.39,4.93,14.36,3,5,12,230,163,163,16,2.07,3.43,3.43,21.18,21.18,20.34
CGY,2013,CGY,CGY,Team Level,all,82,0.48,0.47,0.48,299703,2204,197.33,147.49,513.51,71.49,1234.26,915.05,188.83,197.11,188.6,2199,925,1119,4243,202,139,31,573,45,910,1255,1997,2922,302,712,2253,1708,575,738,2428,508,188,69.38,61.92,66.03,79,62,61,4206.06,3124,3104.73,416,32.33,32.81,33.83,192.7,192.28,187.37,2370.36,214.77,161.41,546.62,77.14,1310.05,981.11,204.55,216.56,206.28,2347,974,1423,4744,238,166,41,553,60,1045,1259,2109,3083,311,726,2619,1463,532,753,2522,592,207,73.83,72.37,68.57,85,80,73,4798.79,3321,3356.65,417,35.14,36.33,37.06,210.83,212.45,206.25
CGY,2013,CGY,CGY,Team Level,5on5,82,0.47,0.46,0.48,245179,1717.91,131.55,108.97,416.95,55.82,965.49,725.76,128.62,131.33,128.4,1731,710,882,3323,137,99,21,462,33,695,1015,1594,2304,268,640,1752,1591,475,619,1954,386,101,56.68,46.42,28.46,62,45,30,3286.06,2441,2421.73,367,22.33,21.37,22.39,128.96,128.53,127.36,1914.53,150.41,124.92,457.18,62.11,1052.17,799.89,146.63,152.2,148.35,1890,781,1179,3850,172,119,28,462,49,831,1038,1718,2499,266,628,2013,1340,449,598,2095,456,120,61.27,56,33.15,70,62,40,3904.79,2671,2706.65,359,25.67,25.96,26.69,147.71,149.33,147.49
CGY,2013,CGY,CGY,Team Level,4on5,82,0.16,0.13,0.15,22622,58.32,7.42,3.15,8.51,1.74,16.42,38.81,7.09,7.42,7.09,60,17,13,90,12,6,3,10,0,10,39,48,65,11,22,182,50,56,40,46,19,12,1.49,2.5,3.44,2,5,5,90,77,77,36,0.74,1.59,1.59,6.5,6.5,6.47,298.81,39.04,27.23,62.07,10.08,186.73,98.11,33.83,39.04,33.83,303,124,168,595,40,34,8,68,7,147,131,263,387,18,36,253,25,15,90,285,92,50,8.04,10.46,20.54,8,11,21,595,427,427,8,7,6.77,6.77,39.08,39.08,35.58
CGY,2013,CGY,CGY,Team Level,5on4,82,0.94,0.89,0.87,22289,291.23,38.09,25.82,59.92,9.39,177.03,97.03,34.01,38.09,34.01,285,126,134,545,36,25,4,68,8,140,134,249,375,20,46,192,35,21,55,297,64,50,6.98,7.95,23.15,10,6,20,545,411,411,5,6.63,7.35,7.35,37.1,37.1,34.32,41.9,2.63,1.65,5.45,1.15,12.18,36.94,2.62,2.63,2.62,48,12,9,69,6,1,1,6,0,6,41,42,54,12,27,200,63,48,38,51,7,2,1.13,0.98,0.53,4,2,0,69,60,60,34,0.4,0.18,0.18,2.86,2.86,2.84
S.J,2013,S.J,S.J,Team Level,other,82,0.61,0.53,0.53,10167,167.26,29.45,11.58,31.94,5.53,90.99,60.5,25.99,29.45,25.99,166,64,74,304,23,15,4,35,4,87,66,143,207,7,14,160,39,22,39,129,64,37,4.29,7.97,17.19,1,11,11,304,230,230,14,3.34,6.37,6.89,25.91,25.91,24.26,146.66,18.55,8.76,30.39,4.65,78.1,63.54,18.04,18.55,18.04,146,58,62,266,15,5,0,30,6,64,84,131,189,11,22,128,48,27,42,144,41,19,4.84,4.98,8.72,5,4,6,266,204,204,25,2.4,1.03,1.03,19.91,19.91,19.48
S.J,2013,S.J,S.J,Team Level,all,82,0.59,0.54,0.56,301263,2866.84,266.74,198.96,661.87,95.35,1616.88,1159.22,252.54,269.14,254.91,2851,1148,1380,5379,239,220,45,692,93,1350,1405,2612,3760,279,657,2747,1632,641,833,3026,701,272,87.51,86.65,92.56,70,85,84,5462.58,3999,4050.03,410,43.99,52.75,56,254.72,257.05,248.13,2297.01,186.26,151.49,533.66,74.57,1280.32,979.69,180.07,185.53,179.33,2282,924,1286,4492,193,136,34,608,79,999,1191,2089,3013,342,789,2457,1960,531,833,2515,529,162,67.78,63.27,55.2,65,73,55,4434.53,3206,3176.61,463,32.93,27.3,29.51,189.68,188.92,185.99
S.J,2013,S.J,S.J,Team Level,5on5,82,0.57,0.54,0.54,243100,2173.91,176.62,142.4,522.5,71.86,1219.65,900.98,170.13,179.04,172.51,2147,887,1065,4099,161,157,32,555,72,992,1097,1986,2873,242,580,2114,1515,535,677,2371,504,159,69.34,61.84,45.44,59,59,43,4182.58,3034,3085.03,365,29.27,34.72,37.8,168.09,170.42,166.87,1819.01,131.55,115.91,439.64,59.2,1015.23,777.46,128.56,130.82,127.84,1809,730,1019,3558,142,110,28,502,64,781,940,1667,2397,298,698,1915,1795,436,660,2042,397,100,55.71,48.16,27.68,53,59,30,3500.53,2539,2509.61,375,23.74,22.13,23.38,131.91,131.14,129.7
S.J,2013,S.J,S.J,Team Level,4on5,82,0.16,0.13,0.16,20864,52.52,5.95,2.67,6.99,1.57,15.25,37.57,5.76,5.95,5.76,55,15,14,84,8,6,2,7,3,7,39,47,62,7,14,181,42,52,29,45,16,9,1.28,2.19,2.48,1,5,2,84,70,70,22,0.62,1.36,1.36,5.2,5.2,5.19,268.75,30.54,24.05,55.19,8.9,169.38,90.96,27.9,30.54,27.9,257,122,176,555,31,19,4,67,6,142,114,226,348,19,38,195,35,16,76,271,74,34,5.99,8.14,16.41,7,7,17,555,379,379,15,6.16,3.74,4.67,32.03,32.03,31
S.J,2013,S.J,S.J,Team Level,5on4,82,0.91,0.89,0.89,27132,473.14,54.71,42.29,100.44,16.39,291.01,160.16,50.66,54.71,50.66,483,182,227,892,47,42,7,95,14,264,203,436,618,23,49,292,36,32,88,481,117,67,12.61,14.65,27.45,9,10,28,892,665,665,9,10.74,10.3,9.95,55.5,55.5,51.82,62.6,5.62,2.77,8.44,1.83,17.6,47.73,5.57,5.62,5.57,70,14,29,113,5,2,2,9,3,12,53,65,79,14,31,219,82,52,55,58,17,9,1.24,1.99,2.39,0,3,2,113,84,84,48,0.64,0.4,0.43,5.83,5.83,5.81
