team...1,season,name,team...4,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penaltyMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penaltyMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
MIN,2012,MIN,MIN,Team Level,5on4,48,0.95,0.92,0.91,14270,202.13,28.45,18.83,40.11,6.24,120.47,62.89,26.45,28.45,26.45,206,71,90,367,23,24,5,43,3,104,80,183,254,8,16,129,11,12,34,182,60,35,4.64,7.21,16.59,1,5,17,367,277,277,2,4.8,6.76,6.76,26.49,26.49,25.16,19.14,1.46,0.87,2.56,0.53,5.53,16.05,1.46,1.46,1.46,18,9,7,34,0,0,0,2,0,2,23,18,27,7,14,108,34,18,10,22,5,0,0.71,0.76,0,0,0,0,34,27,27,10,0.19,0,0,1.66,1.66,1.66
NYR,2012,NYR,NYR,Team Level,other,48,0.39,0.42,0.42,4833,69.36,9.25,4.57,13.5,2.29,38.68,26.77,8.9,9.25,8.9,61,35,38,134,11,4,2,6,1,41,33,50,85,5,10,67,22,13,10,68,18,10,2.45,2.05,4.75,3,1,7,134,96,96,1,1.31,1.14,1.14,9.35,9.35,9.16,94.4,14.2,6.76,18.31,3.11,54.84,36.79,13.59,14.2,13.59,90,44,50,184,11,5,1,20,2,53,43,79,123,3,6,86,25,9,18,93,23,18,2.81,2.74,8.65,2,1,8,184,134,134,7,1.97,1.64,1.64,14.51,14.51,14.06
NYR,2012,NYR,NYR,Team Level,all,48,0.51,0.51,0.52,175635,1475.24,120.38,99.62,337.03,47.46,824.34,618.24,116.7,120.75,117.04,1483,566,729,2778,126,92,23,381,33,667,750,1357,1923,174,402,1410,1413,271,334,1606,340,103,45.42,42.66,32.31,46,38,42,2781.3,2049,2046.08,180,21.51,17.5,18.04,123.78,124.11,122.1,1348.22,116.36,90.13,307.25,43.81,762.19,583.25,112.01,116.5,112.14,1353,550,773,2676,108,87,21,302,51,625,730,1245,1795,179,417,1410,1228,269,362,1481,317,105,40.71,38.54,37.1,39,30,39,2677.3,1903,1907.87,231,19.8,21.67,22.33,113.82,113.88,111.49
NYR,2012,NYR,NYR,Team Level,5on5,48,0.54,0.52,0.54,142714,1206.48,89.58,78.73,284.81,38.58,671.98,511.33,86.92,89.94,87.27,1217,459,579,2255,90,76,17,320,27,543,620,1127,1586,156,366,1101,1307,222,265,1333,275,68,37.63,34.07,17.87,40,29,21,2258.3,1676,1673.08,160,16.15,14.05,14.55,91.18,91.5,90.01,1033.42,77.87,65.85,246.35,33.63,585.25,447.06,75.23,78.01,75.36,1034,422,625,2081,67,66,12,238,39,483,563,967,1389,152,355,1066,1134,214,290,1157,242,57,32.45,29.37,16.04,29,24,14,2082.3,1456,1460.87,204,13.46,14.56,15.13,76.2,76.26,74.95
NYR,2012,NYR,NYR,Team Level,4on5,48,0.16,0.13,0.14,13267,30.22,4.11,1.7,3.82,0.86,8.96,20.55,4.06,4.11,4.06,32,8,13,53,5,3,0,5,0,6,21,27,35,7,14,124,58,27,17,24,11,5,0.89,1.68,1.54,0,2,3,53,40,40,14,0.39,0.41,0.41,4.09,4.09,4.06,178.24,21.01,15.54,37.07,5.85,109.54,62.99,19.91,21.01,19.91,184,68,88,340,28,16,8,40,7,81,80,156,224,12,29,122,23,16,42,185,40,27,4.49,4.88,11.64,7,5,16,340,252,252,10,3.92,5.47,5.57,19.35,19.35,18.74
NYR,2012,NYR,NYR,Team Level,5on4,48,0.84,0.83,0.8,14821,169.17,17.45,14.63,34.89,5.73,104.71,59.59,16.81,17.45,16.81,173,64,99,336,20,9,4,50,5,77,76,153,217,6,12,118,26,9,42,181,36,20,4.45,4.86,8.15,3,6,11,336,237,237,5,3.67,1.89,1.94,19.18,19.18,18.87,42.15,3.28,1.99,5.52,1.22,12.57,36.42,3.28,3.28,3.28,45,16,10,71,2,0,0,4,3,8,44,43,59,12,27,136,46,30,12,46,12,3,0.95,1.56,0.78,1,0,1,71,61,61,10,0.46,0,0,3.74,3.74,3.74
PHI,2012,PHI,PHI,Team Level,other,48,0.45,0.45,0.49,7379,82.74,13.36,5.83,15.89,2.71,44.96,31.31,12.69,13.36,12.69,84,31,34,149,14,3,0,17,3,40,38,70,101,6,12,89,18,15,16,69,31,15,2.75,4.11,6.51,4,5,5,149,115,115,10,1.64,0.68,0.68,14.25,14.25,13.55,88.8,16.44,6.38,17.09,3.13,46.66,31.29,15.93,16.44,15.93,88,33,64,185,17,7,2,16,3,30,48,71,104,4,8,93,24,12,11,67,34,20,2.25,4.45,9.75,1,5,11,185,121,121,7,1.89,2.13,2.13,16.21,16.21,15.89
PHI,2012,PHI,PHI,Team Level,all,48,0.5,0.49,0.49,174054,1377.39,135.54,94.61,311.19,44.79,753.98,574.95,129.99,135.95,130.4,1395,521,684,2600,132,104,19,295,47,611,727,1263,1784,250,607,1408,1316,255,382,1373,403,140,39.66,48.7,47.19,34,50,48,2606.25,1916,1926.28,273,21.1,23.13,24.37,132.2,132.63,129.55,1421.95,134.89,97.27,323.62,45.84,790.49,583.89,130.73,135.51,131.33,1371,605,784,2760,139,93,21,326,49,629,740,1232,1837,237,595,1493,1124,296,390,1465,389,122,46.23,46.7,41.96,40,54,45,2761.87,1976,1973.81,254,21.52,19.63,19.96,136.46,137.05,134.32
PHI,2012,PHI,PHI,Team Level,5on5,48,0.48,0.48,0.48,134131,1020.9,85.34,66.69,241.94,32.98,561.13,432.92,83.01,85.74,83.42,1027,394,526,1947,82,74,14,218,32,457,558,945,1339,209,517,1010,1200,195,294,1073,267,81,31.84,31.4,22.09,24,33,25,1953.25,1421,1431.28,223,13.74,15.38,16.3,82.79,83.23,82.12,1115.02,92.82,72.54,264.29,35.81,617.2,467.35,90.4,93.45,90.99,1063,487,593,2143,97,78,16,260,39,489,587,966,1453,217,549,1111,1038,237,294,1183,294,73,38.51,35.19,19.12,36,41,20,2144.87,1550,1547.82,196,14.93,15.95,16.28,91.48,92.08,90.79
PHI,2012,PHI,PHI,Team Level,4on5,48,0.15,0.16,0.19,16449,41.7,3.98,1.89,5.66,1.23,11.55,36.7,3.87,3.98,3.87,46,15,10,71,2,2,0,6,2,10,39,44,59,11,22,141,72,30,35,42,15,4,0.93,1.82,1.23,0,2,0,71,61,61,34,0.43,0.4,0.85,3.55,3.55,3.55,187.54,22.21,16.76,38.11,6.05,117.65,62.23,21.1,22.21,21.1,188,75,112,375,23,7,3,44,6,101,82,165,240,5,10,146,19,13,38,189,49,25,4.71,5.63,11.87,3,6,14,375,263,263,6,4.32,1.22,1.22,25.31,25.31,24.28
