team...1,season,name,team...4,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penaltyMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penaltyMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
FLA,2015,FLA,FLA,Team Level,other,82,0.59,0.53,0.54,12153,173.54,41.02,12,29.63,6.39,94.02,61.01,37.53,41.02,37.53,178,67,69,314,30,13,3,35,8,86,73,148,215,15,31,183,40,33,33,125,62,58,4.68,7.91,28.43,4,4,22,314,245,245,19,3.5,4.54,6.07,38.45,38.45,36.01,151.54,28.38,10.68,28.13,5.44,84.35,54.03,27,28.38,27,150,61,67,278,24,6,1,36,11,65,69,126,187,8,19,152,55,25,27,109,66,36,3.78,8.26,16.34,4,4,16,278,211,211,11,3.17,1.68,1.68,29.87,29.87,28.6
FLA,2015,FLA,FLA,Team Level,all,82,0.5,0.49,0.49,299174,2318.51,223.77,158.05,516.1,75.82,1293.45,947.89,213.07,224.76,214.08,2360,856,888,4104,232,158,30,590,90,969,1177,2128,2984,342,769,2548,1910,506,610,2362,651,203,71.77,77.41,74.58,69,99,64,4145.16,3216,3240.98,308,35.06,34.2,38.54,220.28,221.45,215.1,2366.9,221.17,160.52,542.22,79.24,1326.9,984.96,210.84,220.17,209.8,2419,896,942,4257,200,153,28,644,101,967,1250,2219,3115,343,783,2540,2025,494,623,2508,588,219,69.88,71.94,79.34,51,73,76,4214.72,3315,3291.71,326,35.65,36,39.61,217.18,216.06,210.25
FLA,2015,FLA,FLA,Team Level,5on5,82,0.49,0.49,0.49,236441,1767.58,141.47,114.56,410.29,56.82,980,747.86,137.4,142.46,138.41,1802,649,658,3109,160,114,21,462,68,714,933,1642,2291,293,667,1861,1772,409,456,1872,473,106,56.25,55.61,29.61,55,79,26,3150.16,2451,2475.98,238,23.61,22.62,25.08,139.99,141.16,139.31,1830.82,145.36,118.62,436.37,60.79,1018.54,778.33,139.49,144.37,138.44,1849,709,720,3278,125,118,21,502,74,747,992,1724,2433,305,701,1930,1826,393,513,2000,427,131,56.24,51.89,37.23,40,55,30,3235.72,2558,2534.71,274,24.46,27.09,29.9,139.91,138.78,136.66
FLA,2015,FLA,FLA,Team Level,4on5,82,0.08,0.09,0.1,24762,37.77,3.75,1.74,5.46,1.16,11.33,27.55,3.74,3.75,3.74,37,14,12,63,3,1,0,9,0,5,33,34,48,14,31,234,62,52,52,36,10,5,1.23,1.25,1.27,2,0,1,63,51,51,45,0.4,0.15,0.15,3.99,3.99,3.99,335.2,42.56,28.78,71.53,11.61,209.66,110.85,39.66,42.56,39.66,365,110,140,615,47,27,6,93,14,147,147,318,428,15,33,245,40,14,48,351,78,46,8.65,9.72,24.18,7,11,29,615,475,475,10,7.45,6.67,7.47,42.54,42.54,40.16
FLA,2015,FLA,FLA,Team Level,5on4,82,0.89,0.88,0.87,25818,339.62,37.53,29.75,70.71,11.44,208.09,111.47,34.4,37.53,34.4,343,126,149,618,39,30,6,84,14,164,138,304,430,20,40,270,36,12,69,329,106,34,9.61,12.64,15.28,8,16,15,618,469,469,6,7.55,6.9,7.24,37.85,37.85,35.79,49.35,4.87,2.42,6.19,1.4,14.36,41.75,4.71,4.87,4.71,55,16,15,86,4,2,0,13,2,8,42,51,67,15,30,213,104,62,35,48,17,6,1.21,2.06,1.6,0,3,1,86,71,71,31,0.56,0.56,0.56,4.86,4.86,4.82
L.A,2015,L.A,L.A,Team Level,other,82,0.48,0.49,0.49,9613,143.46,24.92,9.26,28.59,4.61,70.67,56.96,23.34,24.92,23.34,145,50,63,258,32,10,2,26,4,62,61,113,163,4,8,152,55,16,35,114,48,33,4.56,5.77,14.59,9,8,15,258,195,195,20,2.64,3.6,3.63,23.93,23.93,22.98,143.15,27.2,10.56,26.45,4.91,79.72,52.23,25.64,27.2,25.64,133,69,63,265,20,20,0,24,6,64,68,113,182,6,12,140,45,14,34,116,45,41,4.81,5.91,16.48,3,8,9,265,202,202,19,3.19,5.22,5.22,25.17,25.17,24.06
L.A,2015,L.A,L.A,Team Level,all,82,0.52,0.55,0.55,299077,2753.69,234.37,184.07,650.95,89.88,1551.13,1136.59,225.88,235.81,227.26,2625,1222,1286,5133,223,200,31,634,104,1305,1381,2402,3624,344,806,2534,2495,347,728,2985,643,219,82.53,76.89,74.95,79,74,70,5176.89,3847,3872.32,495,40.45,39.12,40.66,234.16,235.43,230.36,2291.39,216.17,157.66,527.36,73.97,1268.45,929.47,207.52,215.5,206.9,2255,919,1027,4201,192,186,25,525,81,990,1200,2063,2982,301,696,2483,2197,363,704,2353,603,218,66.23,72.97,76.96,67,62,63,4169.05,3174,3154.66,469,35.43,41.9,42.25,209.34,208.86,204.15
L.A,2015,L.A,L.A,Team Level,5on5,82,0.55,0.56,0.56,240356,2186.1,164.22,139.4,534,71.26,1228.16,919.96,159.43,165.66,160.83,2067,990,1030,4087,141,149,23,521,87,1042,1117,1926,2916,311,727,1909,2268,283,575,2428,499,130,67.22,59.86,37.14,55,58,28,4130.89,3057,3082.32,411,28.71,28.79,30.29,162.64,163.91,161.4,1726.4,136.14,110.04,415.96,55.13,941.81,723.92,131.69,135.46,131.08,1712,671,778,3161,121,119,16,430,61,719,933,1591,2262,264,619,1916,2028,310,559,1832,437,114,51.34,52.6,32.2,57,41,23,3129.05,2383,2363.66,397,22.71,26.36,26.7,132.13,131.63,129.71
L.A,2015,L.A,L.A,Team Level,4on5,82,0.08,0.09,0.1,26578,43.1,4.11,2.11,5.64,1.22,12.37,32.55,4.06,4.11,4.06,48,10,14,72,5,2,2,9,1,10,31,43,53,17,34,223,131,36,59,41,13,4,1.26,1.82,1.03,1,3,1,72,58,58,57,0.48,0.45,0.45,4.14,4.14,4.14,384.21,49.24,35.09,79.92,12.89,235.6,125.26,46.65,49.24,46.65,375,163,170,708,49,46,9,68,12,199,164,326,489,25,50,265,35,12,66,369,109,60,8.99,12.98,27.27,6,12,31,708,538,538,9,9.08,9.97,9.97,48.35,48.35,46.71
L.A,2015,L.A,L.A,Team Level,5on4,82,0.92,0.91,0.91,22530,381.02,41.12,33.3,82.71,12.81,239.93,127.13,39.05,41.12,39.05,365,172,179,716,45,39,4,78,12,191,172,320,492,12,37,250,41,12,59,402,83,52,9.49,9.44,22.18,14,5,26,716,537,537,7,8.61,6.28,6.28,43.45,43.45,41.86,37.63,3.6,1.97,5.03,1.03,11.33,28.05,3.53,3.6,3.53,35,16,16,67,2,1,0,3,2,8,35,33,49,6,15,162,89,27,45,36,12,3,1.1,1.48,1.02,1,1,0,67,51,51,44,0.46,0.36,0.36,3.69,3.69,3.69
T.B,2015,T.B,T.B,Team Level,other,82,0.48,0.5,0.51,12929,151.04,30.98,11.06,26.35,4.94,84.15,52.51,29.51,30.98,29.51,148,62,63,273,33,11,4,27,5,69,65,115,177,7,12,143,44,25,35,114,58,38,4.52,7.25,19.21,3,11,19,273,210,210,16,3.2,3.46,3.46,30.72,30.72,29.42,143.23,33.06,9.94,25.33,4.88,77.84,53.95,32.28,33.06,32.28,144,61,70,275,27,10,2,20,6,71,71,117,178,4,4,139,57,25,32,106,53,46,4.3,6.65,22.11,5,4,18,275,205,205,16,2.79,3,3,32.85,32.85,32.35
T.B,2015,T.B,T.B,Team Level,all,82,0.51,0.51,0.51,298004,2410.98,214.57,167.55,550.74,79.24,1377.88,1007.02,205.88,215.59,206.88,2403,994,1154,4551,224,162,37,587,80,1104,1240,2179,3173,330,723,2372,1682,470,679,2574,636,187,73.9,74.47,66.19,73,74,77,4578.21,3397,3420.63,351,37.01,33.73,35.04,216.54,217.44,212.17,2349.92,208.53,163.69,542.88,76.41,1348.13,981.42,201.47,208.1,201.07,2367,955,1027,4349,198,143,27,543,60,1095,1283,2169,3124,346,757,2421,2057,528,554,2550,598,174,71.53,71.95,65.05,73,69,56,4330.81,3322,3311.55,311,36.23,30.18,30.69,214.01,213.55,208.93
T.B,2015,T.B,T.B,Team Level,5on5,82,0.52,0.52,0.52,233215,1872.1,141.49,123.59,447.33,61.77,1061.47,803.34,137.73,142.52,138.73,1872,767,918,3557,150,130,26,473,65,841,980,1722,2489,286,634,1811,1512,371,494,2061,476,102,59.34,55.14,27.01,62,52,36,3584.21,2639,2662.63,283,25.39,24.63,25.93,140.95,141.85,139.8,1759.83,130.49,115.93,424.67,57.35,1003.26,748.36,127.17,130.06,126.77,1776,705,776,3257,126,95,18,438,46,784,992,1650,2355,307,682,1778,1866,431,405,1958,444,79,55.37,53.43,21.69,57,49,20,3238.81,2481,2470.55,259,23.78,19.04,19.67,134.54,134.07,132.1
T.B,2015,T.B,T.B,Team Level,4on5,82,0.08,0.08,0.09,25364,40.27,3.59,1.69,5.22,1.14,11.34,35.02,3.58,3.59,3.58,46,12,6,64,6,0,0,5,3,10,34,40,52,11,25,195,87,50,44,46,8,4,1.24,1,1.36,1,2,3,64,58,58,37,0.4,0,0,3.99,3.99,3.97,392.82,40.98,35.56,85.81,12.68,251.03,131.94,38.03,40.98,38.03,387,171,168,726,39,38,7,77,8,219,177,348,519,18,37,268,37,18,82,428,83,47,10.47,9.86,20.65,10,12,17,726,558,558,6,9.15,8.15,8.02,42.1,42.1,39.99
T.B,2015,T.B,T.B,Team Level,5on4,82,0.91,0.88,0.86,26496,347.58,38.5,31.21,71.84,11.39,220.91,116.14,35.07,38.5,35.07,337,153,167,657,35,21,7,82,7,184,161,302,455,26,52,223,39,24,106,353,94,43,8.8,11.08,18.62,7,9,19,657,490,490,15,8.02,5.65,5.65,40.87,40.87,38.97,54.05,4,2.27,7.06,1.5,16,47.18,3.98,4,3.98,60,18,13,91,6,0,0,8,0,21,43,54,72,17,34,236,97,54,35,58,18,2,1.39,2.01,0.59,1,4,1,91,78,78,30,0.52,0,0,4.52,4.52,4.5
S.J,2015,S.J,S.J,Team Level,other,82,0.53,0.52,0.55,10426,158.24,33.96,12.09,29.11,6.01,91.22,55.67,31.79,33.96,31.79,153,76,63,292,33,16,3,31,7,81,61,120,196,3,6,132,39,23,42,121,58,50,4.65,7.14,22.17,2,7,24,292,229,229,21,3.51,3.64,4,33.4,33.4,31.81,135.69,29.65,9.39,23.92,4.37,71.41,48.27,28.29,29.65,28.29,141,46,81,268,29,15,0,32,3,52,56,112,158,8,19,128,36,25,24,103,42,42,3.56,4.98,21.12,2,4,23,268,187,187,11,2.63,4.35,4.6,27.67,27.67,27.13
S.J,2015,S.J,S.J,Team Level,all,82,0.55,0.52,0.53,298554,2470.65,243.63,177.1,566.76,83.99,1424.61,1008.97,233.72,244.45,234.51,2491,1015,1216,4722,237,169,39,604,75,1138,1283,2254,3269,287,667,2472,1686,593,931,2566,710,230,74.74,85.91,82.98,66,82,89,4737.25,3506,3519.39,440,39.28,39.05,41.81,241.03,241.64,235.4,2235.39,203.03,151.36,516.04,73.69,1250.59,920.28,196.58,202.87,196.42,2245,870,1292,4407,207,154,33,521,66,993,1174,2038,2908,324,754,2404,1960,498,817,2380,540,195,65.44,64.77,72.82,70,51,86,4390.16,3115,3105.09,437,33.55,34.12,36.2,200.38,199.93,196.37
S.J,2015,S.J,S.J,Team Level,5on5,82,0.55,0.52,0.53,240804,1906.93,159.1,129.96,455.01,63.72,1088.14,801.07,154.04,159.92,154.84,1913,784,966,3663,147,124,26,486,57,864,1019,1766,2550,251,596,1872,1545,497,761,2030,546,121,58.51,66.2,34.39,52,60,35,3678.25,2697,2710.39,382,26.81,27.51,29.24,156.66,157.27,154.83,1723.22,128.11,110.45,415.7,56.24,961.81,722.69,125.02,127.95,124.85,1718,677,1030,3425,133,98,22,415,49,763,937,1585,2262,286,672,1847,1837,412,679,1892,411,92,52.37,49.64,26.09,59,42,32,3408.16,2395,2385.09,378,22.71,19.61,21.24,129.58,129.12,127.7
S.J,2015,S.J,S.J,Team Level,4on5,82,0.08,0.09,0.11,21855,38.94,3.64,1.91,5.52,1.21,11.6,31.11,3.62,3.64,3.62,42,13,7,62,6,3,0,7,0,7,32,36,49,14,31,178,73,49,37,41,10,4,1.1,1.33,1.21,2,2,2,62,55,55,32,0.45,0.27,0.27,3.83,3.83,3.82,320.47,40.92,29.14,68.46,11.36,200.41,103.71,38.94,40.92,38.94,323,131,162,616,39,39,11,65,9,167,135,284,415,16,35,230,34,28,75,320,77,57,7.81,8.85,24.26,6,3,30,616,454,454,11,7.65,9.79,10,38.58,38.58,37
S.J,2015,S.J,S.J,Team Level,5on4,82,0.92,0.88,0.87,25469,366.53,46.94,33.13,77.12,13.05,233.65,121.12,44.25,46.94,44.25,383,142,180,705,51,26,10,80,11,186,171,332,474,19,34,290,29,24,91,374,96,55,10.47,11.25,25.23,10,13,28,705,525,525,5,8.5,7.64,8.3,47.14,47.14,44.94,56.01,4.36,2.37,7.97,1.73,16.96,45.62,4.33,4.36,4.33,63,16,19,98,6,2,0,9,5,11,46,57,73,14,28,199,53,33,39,65,10,4,1.7,1.31,1.34,3,2,1,98,79,79,37,0.55,0.36,0.36,4.55,4.55,4.54
COL,2015,COL,COL,Team Level,other,82,0.45,0.54,0.55,12756,166.64,30.28,12.5,28.56,5.49,101.59,58.58,28.39,30.28,28.39,177,60,73,310,23,13,4,33,5,73,90,154,214,7,14,141,42,16,27,145,46,46,4.91,5.22,20.15,3,6,14,310,237,237,13,3.85,4.66,4.66,29.47,29.47,28.25,138.04,37.5,9.61,22.05,4.42,71.74,49.68,36.73,37.5,36.73,133,62,69,264,36,10,4,17,7,60,65,97,159,11,22,133,41,26,19,98,44,53,3.9,5.48,28.12,2,7,27,264,195,195,12,2.72,3.2,3.2,37.02,37.02,36.46
