team...1,season,name,team...4,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penaltyMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penaltyMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2016,NYR,NYR,Team Level,other,82,0.59,0.52,0.56,15270,149.71,30.72,10.12,26.51,5.06,76.89,56.7,27.92,30.72,27.92,144,62,56,262,32,14,3,22,8,57,73,112,174,7,14,117,25,24,25,121,41,44,4.28,5.11,21.33,7,6,19,262,206,206,14,3,4.1,4.1,29.62,29.62,27.77,117.99,21.1,8.15,21.77,4.04,64.39,43.57,20.2,21.1,20.2,109,54,75,238,15,10,2,17,4,60,57,94,148,9,18,125,31,28,34,98,36,29,3.6,4.69,12.8,4,1,10,238,163,163,10,2.33,2.9,2.78,20.65,20.65,20.21
NYR,2016,NYR,NYR,Team Level,all,82,0.51,0.49,0.5,298454,2469.58,231.68,164.92,563.51,81.5,1365.86,1030.54,222.63,232.68,223.63,2438,1000,1074,4512,253,168,43,556,86,1053,1322,2185,3185,262,579,2353,1715,647,859,2566,656,216,72.48,78.99,80.2,83,82,88,4518.21,3438,3443.69,467,36.43,39.92,40.69,227.42,228.53,223.11,2461.44,220.38,164.27,568.01,81.39,1379.9,1027.05,211.98,220.5,212.09,2465,976,1244,4685,216,170,39,573,81,1101,1300,2249,3225,275,614,2511,1683,531,827,2586,667,188,72.64,81.36,66.39,68,78,70,4675.51,3441,3437.37,445,35.83,41.08,41.95,214.27,214.31,209.92
NYR,2016,NYR,NYR,Team Level,5on5,82,0.49,0.48,0.49,240464,1918.59,153.46,123.59,456,62.44,1058.98,814.54,149.28,154.47,150.29,1895,774,855,3524,167,117,28,447,67,817,1054,1728,2502,232,518,1865,1612,541,710,2036,520,113,57.67,62.91,32.87,68,68,31,3530.22,2669,2674.7,420,25.48,25.58,26.67,152.27,153.38,150.96,2003.23,157.68,128.26,480.2,66.24,1117.64,851.96,153.12,157.79,153.24,2002,800,1024,3826,154,129,28,483,62,883,1091,1848,2648,244,549,1937,1568,443,659,2155,534,113,60.36,64.91,32.41,57,63,34,3816.51,2802,2798.37,382,26.39,28.82,29.66,154.41,154.46,152.08
NYR,2016,NYR,NYR,Team Level,4on5,82,0.16,0.17,0.18,20374,67.95,6.85,3.14,9.22,2.22,19.96,50.61,6.77,6.85,6.77,73,19,18,110,9,1,0,13,0,14,55,64,83,8,16,156,53,61,31,60,22,10,1.55,2.7,2.6,2,3,4,110,92,92,30,0.71,0.27,0.27,7.28,7.28,7.28,296.03,37.04,25.73,59.62,9.71,184.61,97.29,34.24,37.04,34.24,302,112,132,546,42,28,8,62,12,146,124,260,372,15,30,242,26,11,86,290,83,41,7.47,9.89,19.68,5,12,25,546,414,414,8,6.62,8.47,8.49,35.18,35.18,33.6
NYR,2016,NYR,NYR,Team Level,5on4,82,0.9,0.89,0.88,22346,333.33,40.65,28.07,71.78,11.78,210.03,108.69,38.65,40.65,38.65,326,145,145,616,45,36,12,74,11,165,140,281,426,15,31,215,25,21,93,349,73,49,8.98,8.27,23.39,6,5,34,616,471,471,3,7.23,9.96,9.64,38.24,38.24,37.1,44.2,4.56,2.13,6.42,1.4,13.25,34.23,4.42,4.56,4.42,52,10,13,75,5,3,1,11,3,12,28,47,57,7,17,207,58,49,48,43,14,5,1.19,1.86,1.5,2,2,1,75,62,62,45,0.48,0.91,1.02,4.03,4.03,4.02
CGY,2016,CGY,CGY,Team Level,other,82,0.46,0.45,0.45,12393,117.18,21.45,8.29,19.86,3.55,63.45,44.4,20.76,21.45,20.76,115,46,54,215,26,3,3,24,3,59,46,89,135,14,26,121,22,28,21,91,39,31,3.48,4.53,13.45,6,8,12,215,161,161,12,2.42,1.39,1.39,22.49,22.49,21.84,139.17,24.93,10.42,26.37,4.77,80.84,48.67,23.49,24.93,23.49,136,60,66,262,22,8,4,25,9,70,62,114,174,6,12,127,22,27,27,123,43,30,4.26,5.5,15.17,3,6,13,262,196,196,17,2.98,2.98,2.98,24.94,24.94,24.34
CGY,2016,CGY,CGY,Team Level,all,82,0.49,0.5,0.5,298436,2362.22,218.54,162.89,534.79,76.11,1330.11,979.56,211.84,219.14,212.47,2389,913,1195,4497,222,157,41,578,87,1010,1248,2167,3080,360,828,2432,1550,644,805,2442,642,218,68.1,76.3,74.13,71,77,74,4501.48,3302,3306.19,445,35.98,36.81,38,216.5,217.16,213.31,2382.05,231.98,164.46,539.85,77.57,1334.27,968.87,223.7,232.9,224.59,2356,961,1111,4428,219,177,36,654,99,931,1237,2137,3098,333,787,2538,1289,570,708,2462,634,221,69.89,78.78,83.31,61,86,72,4432.45,3317,3326.68,393,36.61,43.9,46.89,221.69,222.52,218.91
CGY,2016,CGY,CGY,Team Level,5on5,82,0.48,0.51,0.5,235352,1818.93,144.19,119.02,433.48,58.73,1024.39,766.19,140.22,144.8,140.85,1843,703,940,3486,140,111,25,460,69,785,981,1703,2406,317,744,1853,1453,515,657,1944,481,121,54.37,57.24,32.59,53,57,30,3490.48,2546,2550.19,387,24.52,23.18,24.71,144,144.66,142.63,1830,153.72,120.08,434.18,59.56,1013.18,759.26,149.14,154.64,150.03,1804,736,875,3415,145,136,18,537,72,678,972,1659,2395,306,733,1950,1198,469,565,1933,471,136,55.39,58.96,39.37,51,65,29,3419.45,2540,2549.68,333,24.82,29.67,31.23,147.31,148.14,146.3
CGY,2016,CGY,CGY,Team Level,4on5,82,0.12,0.14,0.15,26065,68.43,6.59,3.19,9.04,1.93,19.37,52.87,6.46,6.59,6.46,71,22,19,112,8,6,3,7,4,10,58,63,85,14,28,219,46,78,45,67,15,11,1.81,1.87,2.91,2,1,5,112,93,93,42,0.75,1.57,1.57,5.76,5.76,5.75,360.89,48.85,31.67,72.38,11.79,225.34,116.97,46.61,48.85,46.61,361,146,159,666,47,31,12,87,16,170,156,314,460,8,16,261,24,10,72,351,104,52,8.83,12.33,27.68,6,13,28,666,507,507,4,8.27,10.77,12.19,44.93,44.93,43.76
CGY,2016,CGY,CGY,Team Level,5on4,82,0.91,0.89,0.87,24626,357.69,46.3,32.39,72.41,11.9,222.88,116.1,44.41,46.3,44.41,360,142,182,684,48,37,10,87,11,156,163,312,454,15,30,239,29,23,82,340,107,55,8.45,12.67,25.19,10,11,27,684,502,502,4,8.29,10.68,10.33,44.26,44.26,43.08,51.99,4.48,2.27,6.93,1.45,14.91,43.97,4.46,4.48,4.46,55,19,11,85,5,2,2,5,2,13,47,50,69,13,26,200,45,64,44,55,16,3,1.41,1.99,1.08,1,2,2,85,74,74,39,0.53,0.49,0.49,4.51,4.51,4.51
